Date,Home_Team,Away_Team,Line,Over_Odds,Under_Odds,URL
2021-07-26,Las Palmas,Wolverhampton,8.0,1.925,1.875,https://www.totalcorner.com/stats/Las-Palmas-vs-Wolverhampton/105671610
2021-07-25,Everton,Millonarios,8.0,1.825,1.975,https://www.totalcorner.com/stats/Everton-vs-Millonarios/105711527
2021-07-24,Celtic,West Ham,8.5,1.875,1.925,https://www.totalcorner.com/stats/Celtic-vs-West-Ham/105587456
2021-07-24,Real Betis,Wolverhampton,8.5,2.0,1.8,https://www.totalcorner.com/stats/Real-Betis-vs-Wolverhampton/105613924
2021-07-24,Watford,West Brom,9.0,1.975,1.825,https://www.totalcorner.com/stats/Watford-vs-West-Brom/105613901
2021-07-24,QPR,Man Utd,8.5,1.875,1.925,https://www.totalcorner.com/stats/QPR-vs-Man-Utd/105613896
2021-07-24,Burton Albion,Leicester,9.0,1.975,1.825,https://www.totalcorner.com/stats/Burton-Albion-vs-Leicester/105587452
2021-07-24,Stoke,Aston Villa,8.5,1.825,1.975,https://www.totalcorner.com/stats/Stoke-vs-Aston-Villa/105613898
2021-07-24,Ipswich,Crystal Palace,8.5,1.875,1.925,https://www.totalcorner.com/stats/Ipswich-vs-Crystal-Palace/105613892
2021-07-23,Liverpool,Mainz,9.0,1.85,1.95,https://www.totalcorner.com/stats/Liverpool-vs-Mainz/105570842
2021-07-23,Doncaster,Newcastle,9.0,1.975,1.825,https://www.totalcorner.com/stats/Doncaster-vs-Newcastle/105570848
2021-07-21,Colchester,Tottenham,8.5,1.925,1.875,https://www.totalcorner.com/stats/Colchester-vs-Tottenham/105537503
2021-07-21,Reading,West Ham,8.5,1.875,1.925,https://www.totalcorner.com/stats/Reading-vs-West-Ham/105482610
2021-07-21,Walsall,Aston Villa,9.0,1.875,1.925,https://www.totalcorner.com/stats/Walsall-vs-Aston-Villa/105482612
2021-07-18,Derby,Man Utd,8.5,1.9,1.9,https://www.totalcorner.com/stats/Derby-vs-Man-Utd/105373785
2021-07-17,Rangers,Arsenal,8.5,1.825,1.975,https://www.totalcorner.com/stats/Rangers-vs-Arsenal/105288036
2021-07-17,Walsall,Crystal Palace,8.5,1.875,1.925,https://www.totalcorner.com/stats/Walsall-vs-Crystal-Palace/105288033
2021-07-17,Crewe,Wolverhampton,8.5,1.825,1.975,https://www.totalcorner.com/stats/Crewe-vs-Wolverhampton/105314861
2021-07-16,Woking,West Brom,9.0,1.975,1.825,https://www.totalcorner.com/stats/Woking-vs-West-Brom/105280155
2021-07-13,Hibernian,Arsenal,9.0,1.975,1.825,https://www.totalcorner.com/stats/Hibernian-vs-Arsenal/105159069
2021-05-29,Man City,Chelsea,9.5,1.8,2.0,https://www.totalcorner.com/stats/Man-City-vs-Chelsea/102314368
2021-05-26,Villarreal,Man Utd,9.5,1.9,1.9,https://www.totalcorner.com/stats/Villarreal-vs-Man-Utd/102358391
2021-05-23,West Ham,Southampton,10.0,1.9,1.9,https://www.totalcorner.com/stats/West-Ham-vs-Southampton/102540190
2021-05-23,Man City,Everton,10.5,2.05,1.75,https://www.totalcorner.com/stats/Man-City-vs-Everton/102540178
2021-05-23,Leicester,Tottenham,10.0,1.825,1.975,https://www.totalcorner.com/stats/Leicester-vs-Tottenham/102540170
2021-05-23,Wolverhampton,Man Utd,10.0,1.925,1.875,https://www.totalcorner.com/stats/Wolverhampton-vs-Man-Utd/102540192
2021-05-23,Aston Villa,Chelsea,10.0,1.85,1.95,https://www.totalcorner.com/stats/Aston-Villa-vs-Chelsea/102540150
2021-05-23,Liverpool,Crystal Palace,10.5,1.85,1.95,https://www.totalcorner.com/stats/Liverpool-vs-Crystal-Palace/102540174
2021-05-23,Leeds,West Brom,11.0,1.9,1.9,https://www.totalcorner.com/stats/Leeds-vs-West-Brom/102540162
2021-05-23,Fulham,Newcastle,10.0,1.875,1.925,https://www.totalcorner.com/stats/Fulham-vs-Newcastle/102540159
2021-05-23,Arsenal,Brighton,10.0,1.85,1.95,https://www.totalcorner.com/stats/Arsenal-vs-Brighton/102540148
2021-05-23,Sheff Utd,Burnley,10.5,1.85,1.95,https://www.totalcorner.com/stats/Sheff-Utd-vs-Burnley/102540185
2021-05-19,Everton,Wolverhampton,10.0,1.9,1.9,https://www.totalcorner.com/stats/Everton-vs-Wolverhampton/101933960
